[START OF SIMULATION]
0X00000000:	bun 102	PC=0X0000019C
0X0000019C:	mov sp,32764	R30=0X00001FFF
0X000001A0:	sbr sr[1]	SR=0X00000002
[INVALID INSTRUCTION @ 0XF0F0F0F0]
[SOFTWARE INTERRUPTION]
0X00000004:	bun 15	PC=0X00000044
0X00000044:	cbr sr[2]	SR=0X00000002
0X00000048:	push r1, r2,r31	MEM[0X00007FF0]{0X00000000,0X00000000,0X00000002}={R1, R2,R31}
0X0000004C:	l32 r1,[r0+-137]	R1=MEM[0X00000224]=0X8888888B
0X00000050:	mov r2,552	R2=0X00000228
0X00000054:	call -14	PC=0X00000020,MEM[0X00007FE4]=0X00000058
0X00000020:	push r31	MEM[0X00007FE0]{0X00000002}={R31}
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000228]=0X49
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X49
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000229,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000229]=0X4E
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X4E
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000022A,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000022A]=0X56
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X56
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000022B,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000022B]=0X41
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X41
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000022C,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000022C]=0X4C
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X4C
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000022D,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000022D]=0X49
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X49
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000022E,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000022E]=0X44
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X44
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000022F,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000022F]=0X20
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X20
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000230,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000230]=0X49
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X49
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000231,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000231]=0X4E
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
